t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.500,2,1,1,-531.990,189.999,49.990,57.018174,0.000690,0.000690,-57.017484,-0.114592,nan,0.000000,-0.655337,1.561310,0.803608,0.000000,-0.185673,1.088620,0.315826,0.000000,2.500000,-9.500000,12.000000,-7.000000,1049.72327435,0.000000,0.00000000,63.07324517,0.000000,420.35867204,388.16980821,176.26764029,0.00001521,1.63763155,0.14222801,0.02597302,0.04806085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.821,2,1,1,-531.990,189.999,49.990,57.018174,0.000690,0.000690,-57.017484,-0.114592,nan,0.000000,-0.655337,1.561310,0.803608,0.655337,-0.185673,1.088620,0.315826,0.185673,2.500000,-21.500000,24.000000,-19.000000,1001.24294544,0.000000,0.00000000,50.81534226,0.000000,419.83474587,387.49547441,141.23821326,0.00000367,1.64201071,0.14296249,0.02582122,0.04837156,0.54867613,0.00050319,0.00000673,0.00059503,0.00005786,0.25393665,0.29207501,0.00150167,0.00004193,0.00000337,0.00023801,0.00011571,0.03003338,0.14603750,0.31742081
0.900,2,1,1,-531.975,189.998,49.975,56.864701,0.002655,0.002655,-56.862046,0.114592,nan,0.017474,0.274826,3.179916,0.585539,0.599314,0.610695,2.907761,0.389084,0.318894,0.750000,-20.750000,21.500000,-20.000000,969.45756268,0.000000,0.00000000,17.99434754,0.000000,419.74761741,387.33522956,142.37991040,0.00000160,1.78462603,0.14257069,0.02508166,0.04817779,0.68437367,0.00052512,0.00002478,0.00120668,0.00016014,0.31652107,0.36409178,0.00184411,0.00004376,0.00001239,0.00048267,0.00032028,0.03688210,0.18204589,0.39565133
1.000,2,1,1,-531.971,189.998,49.971,56.777602,0.002021,0.002021,-56.775581,-1.131592,nan,0.028119,0.508971,1.776169,0.549274,0.582373,0.842436,2.750197,0.492492,0.472495,6.750000,-26.750000,33.500000,-20.000000,960.81584336,0.000000,0.00000000,28.09661999,0.000000,418.01682274,384.99595455,127.55066589,0.00002616,1.94617444,0.14207587,0.01964586,0.04785786,0.85450423,0.00061976,0.00006799,0.00144680,0.00027528,0.39503166,0.45445794,0.00260481,0.00005165,0.00003400,0.00057872,0.00055056,0.05209620,0.22722897,0.49378957
1.100,2,1,1,-531.966,189.999,49.966,56.662307,0.000640,0.000640,-56.661667,-0.487014,nan,0.035233,0.741030,3.294507,0.491537,0.611683,1.101650,2.248859,0.648882,0.623161,12.750000,-32.750000,45.500000,-20.000000,947.94381392,0.000000,0.00000000,28.18934675,0.000000,416.48356126,382.97773945,117.96150047,0.00005951,2.12501649,0.14299081,0.01525591,0.04834327,1.02522408,0.00082047,0.00014192,0.00227328,0.00035230,0.47326326,0.54453303,0.00383982,0.00006837,0.00007096,0.00090931,0.00070460,0.07679636,0.27226651,0.59157908
1.200,2,1,1,-531.962,190.002,49.962,56.512695,-0.001762,-0.001762,-56.514457,-1.804817,nan,0.041698,0.975393,2.807493,0.550238,0.675747,1.379784,2.076972,0.869848,0.777731,18.750000,-38.750000,57.500000,-20.000000,929.55565243,0.000000,0.00000000,25.81732022,0.000000,414.91436783,380.96010147,105.33337684,0.00005392,2.32317108,0.14473853,0.01300278,0.04951976,1.19570087,0.00116825,0.00025791,0.00287355,0.00041800,0.55109913,0.63419100,0.00569301,0.00009735,0.00012896,0.00114942,0.00083601,0.11386022,0.31709550,0.68887391
1.402,2,1,1,-531.962,190.002,49.962,56.512695,-0.001762,-0.001762,-56.514457,-1.804817,nan,0.041698,0.975393,2.807493,0.550238,0.753275,1.379784,2.076972,0.869848,0.946432,24.750000,-44.750000,69.500000,-20.000000,917.40097262,0.000000,0.00000000,24.78914224,0.000000,413.60467928,379.30028940,97.12331433,0.00003973,2.37040320,0.14835771,0.01324812,0.05149860,1.54150002,0.00187057,0.00049215,0.00408574,0.00055069,0.70828065,0.81524605,0.01097418,0.00015588,0.00024607,0.00163430,0.00110138,0.21948360,0.40762303,0.88535081
1.500,2,1,1,-531.950,190.012,49.950,55.853888,-0.013903,-0.013903,-55.867791,-2.435071,nan,0.039133,1.558356,1.761845,1.042154,0.865946,1.982853,1.776169,1.422482,1.092405,30.750000,-50.750000,81.500000,-20.000000,902.87663443,0.000000,0.00000000,23.93974650,0.000000,412.11754670,377.56406806,86.26298762,0.00000000,2.76999667,0.15296986,0.01593500,0.05338402,1.70692509,0.00274066,0.00072693,0.00431744,0.00059779,0.78283341,0.90128344,0.01442544,0.00022839,0.00036346,0.00172698,0.00119557,0.28850876,0.45064172,0.97854176
1.600,2,1,1,-531.947,190.018,49.947,55.567423,-0.020152,-0.020152,-55.587575,-3.724226,nan,0.049205,1.695762,0.759169,1.256510,0.971206,2.099143,1.532662,1.654223,1.218869,36.750000,-56.750000,93.500000,-20.000000,892.14464110,0.000000,0.00000000,23.61144203,0.000000,411.19636723,376.57684570,77.64878964,0.00000000,2.87795876,0.15794775,0.01663505,0.05865493,1.87526742,0.00379244,0.00099554,0.00436136,0.00063359,0.85817916,0.98830605,0.01899929,0.00031604,0.00049777,0.00174454,0.00126717,0.37998572,0.49415303,1.07272395
1.700,2,1,1,-531.944,190.025,49.944,55.208050,-0.028749,-0.028749,-55.236798,-3.122620,nan,0.064054,1.823874,-0.042972,1.472700,1.068591,2.225111,0.601606,1.881849,1.332099,40.000000,-60.000000,100.000000,-20.000000,890.20704891,0.000000,0.00000000,25.24804532,0.000000,410.72449329,376.16464996,74.84990052,0.00000000,2.97906951,0.16174865,0.01695255,0.06218912,2.04232993,0.00500858,0.00129722,0.00436150,0.00063910,0.93254291,1.07428063,0.02420000,0.00041738,0.00064861,0.00174460,0.00127820,0.48399998,0.53714031,1.16567863
