t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,2,1,1,-532.001,189.997,50.001,56.549783,0.003635,0.003635,-56.546148,-0.444042,nan,0.000000,-0.342578,0.744845,0.337081,0.000000,0.469365,0.630254,0.356634,0.000000,2.500000,-9.500000,12.000000,-7.000000,1043.93904347,0.000000,0.00000000,61.51403990,0.000000,420.50371875,388.29282282,171.69412970,0.00001165,1.71894408,0.14203455,0.02610708,0.04723494,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.523,2,1,1,-532.001,189.997,50.001,56.549783,0.003635,0.003635,-56.546148,-0.444042,nan,0.000000,-0.342578,0.744845,0.337081,0.342578,0.469365,0.630254,0.356634,0.469365,2.500000,-21.500000,24.000000,-19.000000,997.00980264,0.000000,0.00000000,49.62295848,0.000000,420.01639592,387.66815878,137.76403496,0.00000279,1.72272988,0.14257997,0.02543934,0.04750252,0.54245608,0.00013832,0.00004328,0.00013623,0.00001951,0.25123782,0.28937035,0.00151058,0.00001153,0.00002164,0.00005449,0.00003901,0.03021161,0.14468517,0.31404728
0.600,2,1,1,-532.014,189.974,50.014,56.250899,0.029740,0.029740,-56.221159,-0.945380,nan,0.040416,-0.321427,0.100268,0.332522,0.338581,0.091858,-0.501338,0.286549,0.423366,8.000000,-28.000000,36.000000,-20.000000,994.50197867,0.000000,0.00000000,63.42521912,0.000000,419.40850082,387.07133819,122.73615600,0.00001517,1.65323244,0.14208789,0.01840082,0.04702823,0.67169509,0.00016760,0.00004367,0.00013682,0.00002247,0.31094812,0.35820846,0.00216794,0.00001397,0.00002184,0.00005473,0.00004495,0.04335873,0.17910423,0.38868515
0.700,2,1,1,-532.016,189.970,50.016,56.124593,0.034247,0.034247,-56.090346,-0.673225,nan,0.041364,-0.298809,-0.085944,0.327574,0.331007,0.152815,0.759169,0.257991,0.384773,14.000000,-34.000000,48.000000,-20.000000,975.61112680,0.000000,0.00000000,57.24538629,0.000000,418.25319062,385.64250440,112.59616447,0.00002710,1.66845894,0.14327692,0.01450391,0.04761416,0.83823819,0.00020025,0.00004510,0.00013738,0.00003126,0.38764288,0.44666094,0.00352039,0.00001669,0.00002255,0.00005495,0.00006251,0.07040774,0.22333047,0.48455360
0.800,2,1,1,-532.017,189.968,50.017,55.958977,0.036468,0.036468,-55.922508,-1.145916,nan,0.032631,-0.262783,0.644578,0.316850,0.320645,0.291947,-0.128916,0.248591,0.370919,20.000000,-40.000000,60.000000,-20.000000,954.22375055,0.000000,0.00000000,49.56882328,0.000000,416.91887064,383.92085746,101.88804741,0.00002040,1.71980509,0.14563031,0.01286815,0.04882782,1.00444434,0.00022549,0.00005029,0.00016902,0.00003151,0.46385187,0.53459582,0.00552033,0.00001879,0.00002514,0.00006761,0.00006302,0.11040666,0.26729791,0.57981484
0.900,2,1,1,-532.017,189.967,50.017,55.748995,0.037746,0.037746,-55.711249,-2.449395,nan,0.024078,-0.222992,-0.902409,0.295272,0.308597,0.401963,1.246183,0.228702,0.375509,26.000000,-46.000000,72.000000,-20.000000,933.64886844,0.000000,0.00000000,43.00867828,0.000000,415.53665952,382.14166398,90.93092202,0.00000136,1.81699481,0.14924413,0.01374678,0.05095755,1.17024067,0.00024366,0.00006013,0.00023101,0.00005515,0.53945496,0.62188466,0.00831111,0.00002030,0.00003006,0.00009240,0.00011030,0.16622211,0.31094233,0.67431870
1.111,2,1,1,-532.017,189.967,50.017,55.748995,0.037746,0.037746,-55.711249,-2.449395,nan,0.024078,-0.222992,-0.902409,0.295272,0.291018,0.401963,1.246183,0.228702,0.381800,32.000000,-52.000000,84.000000,-20.000000,920.87835885,0.000000,0.00000000,39.67628510,0.000000,414.29893911,380.58515667,84.24154099,0.00000000,1.85223471,0.15422840,0.01619599,0.05377788,1.52219704,0.00028201,0.00008090,0.00036186,0.00010506,0.69904640,0.80614368,0.01617712,0.00002350,0.00004045,0.00014475,0.00021012,0.32354248,0.40307184,0.87380800
1.200,2,1,1,-532.020,189.967,50.020,54.828440,0.037798,0.037798,-54.790642,-3.853141,nan,0.020068,-0.098033,0.186211,0.229502,0.279296,0.420437,0.186211,0.338457,0.385397,38.000000,-58.000000,96.000000,-20.000000,903.81445676,0.000000,0.00000000,35.09260888,0.000000,413.38624661,379.47366988,73.73794231,0.00000000,1.88707596,0.16002892,0.01724652,0.05963769,1.66703079,0.00028514,0.00009049,0.00036421,0.00010553,0.76418238,0.88154509,0.02045795,0.00002376,0.00004524,0.00014569,0.00021106,0.40915907,0.44077254,0.95522798
1.300,2,1,1,-532.020,189.970,50.020,54.423863,0.033953,0.033953,-54.389910,-2.535338,nan,0.026967,-0.042747,0.071620,0.182802,0.266610,0.453597,0.071620,0.390308,0.392087,40.000000,-60.000000,100.000000,-20.000000,901.77253718,0.000000,0.00000000,34.99109429,0.000000,413.03887863,379.07608686,72.50900469,0.00000000,1.91708536,0.16236746,0.01713575,0.06088413,1.82787683,0.00028580,0.00010302,0.00036460,0.00010561,0.83627100,0.96508902,0.02565778,0.00002382,0.00005151,0.00014584,0.00021121,0.51315555,0.48254451,1.04533874
1.400,2,1,1,-532.018,189.976,50.018,53.967081,0.027385,0.027385,-53.939696,-4.325831,nan,0.041685,0.013209,-0.071620,0.132302,0.255292,0.501598,1.131592,0.432337,0.402350,40.000000,-60.000000,100.000000,-20.000000,898.52393279,0.000000,0.00000000,34.95275268,0.000000,412.89111458,378.95437566,69.53409746,0.00000000,1.94943483,0.16235584,0.01767377,0.06212797,1.98622734,0.00028587,0.00011834,0.00036499,0.00012510,0.90714666,1.04733056,0.03085581,0.00002382,0.00005917,0.00014600,0.00025021,0.61711614,0.52366528,1.13393332
