t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,2,1,1,-532.006,189.993,50.006,57.115407,0.007873,0.007873,-57.107534,0.386747,nan,0.000000,-2.435332,-0.128916,2.508212,0.000000,-2.207484,-0.358099,2.112545,0.000000,2.500000,-9.500000,12.000000,-7.000000,1054.65222114,0.000000,0.01222150,63.90800690,0.000000,420.68329427,388.50403699,178.69935021,0.00001694,2.62868918,0.14235617,0.02588392,0.04836505,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.514,2,1,1,-532.006,189.993,50.006,57.115407,0.007873,0.007873,-57.107534,0.386747,nan,0.000000,-2.435332,-0.128916,2.508212,2.435332,-2.207484,-0.358099,2.112545,2.207484,2.500000,-21.500000,24.000000,-19.000000,1005.19649845,0.000000,0.01023045,51.41780683,0.000000,420.13540630,387.79704581,142.98163962,0.00000416,2.63650440,0.14319550,0.02603595,0.04862945,0.54526498,0.00680163,0.00093141,0.00000397,0.00000613,0.24934004,0.28671197,0.00146984,0.00056680,0.00046570,0.00000159,0.00001226,0.02939680,0.14335598,0.31167505
0.600,2,1,1,-531.999,189.993,49.999,56.964894,0.007937,0.007937,-56.956957,-0.974028,nan,0.009683,-1.462470,2.821817,2.179481,2.261199,-1.138987,3.022352,1.820654,2.025295,8.000000,-28.000000,36.000000,-20.000000,975.40589223,0.000000,0.00064030,41.53600003,0.000000,418.66781456,385.88825245,126.62968072,0.00002677,2.47413602,0.14240122,0.01868086,0.04825930,0.69403922,0.00747609,0.00099959,0.00052709,0.00012615,0.31754008,0.36516884,0.00220139,0.00062301,0.00049980,0.00021084,0.00025230,0.04402774,0.18258442,0.39692510
0.700,2,1,1,-531.996,189.994,49.996,56.873048,0.007411,0.007411,-56.865637,-1.360775,nan,0.019325,-1.140225,3.008028,1.996654,2.085711,-0.846492,3.265859,1.664674,1.850552,14.000000,-34.000000,48.000000,-20.000000,953.26285760,0.000000,0.00000000,34.53475440,0.000000,417.10868622,383.81005024,115.16537160,0.00005294,2.43709769,0.14333280,0.01459726,0.04891444,0.86631532,0.00795153,0.00104326,0.00121644,0.00028867,0.39637600,0.45588549,0.00355395,0.00066263,0.00052163,0.00048657,0.00057733,0.07107892,0.22794274,0.49547000
0.800,2,1,1,-531.992,189.995,49.992,56.741508,0.006228,0.006228,-56.735279,-1.604282,nan,0.029491,-0.774814,3.924761,1.663493,1.930157,-0.530149,4.325831,1.385009,1.703195,20.000000,-40.000000,60.000000,-20.000000,934.18791430,0.000000,0.00000000,29.51497533,0.000000,415.50113129,381.68550071,104.94572663,0.00005875,2.33178081,0.14565175,0.01290166,0.05018737,1.03866908,0.00817087,0.00106038,0.00238894,0.00057354,0.47478127,0.54614108,0.00555300,0.00068091,0.00053019,0.00095558,0.00114709,0.11105997,0.27307054,0.59347658
0.900,2,1,1,-531.986,189.997,49.986,56.589020,0.003663,0.003663,-56.585357,-2.922085,nan,0.042559,-0.412078,3.853141,1.291784,1.793650,-0.215376,3.638282,1.014138,1.578858,26.000000,-46.000000,72.000000,-20.000000,914.38790294,0.000000,0.00000000,24.71058455,0.000000,413.79252403,379.45410557,94.04300229,0.00002619,2.17241795,0.14912875,0.01368974,0.05242387,1.21089183,0.00823299,0.00106321,0.00352053,0.00077533,0.55287498,0.63607745,0.00834733,0.00068608,0.00053160,0.00140821,0.00155065,0.16694669,0.31803873,0.69109373
1.125,2,1,1,-531.986,189.997,49.986,56.589020,0.003663,0.003663,-56.585357,-2.922085,nan,0.042559,-0.412078,3.853141,1.291784,1.573949,-0.215376,3.638282,1.014138,1.377983,32.000000,-52.000000,84.000000,-20.000000,903.62632661,0.000000,0.00000000,23.49591585,0.000000,412.57345219,377.92416247,87.19345261,0.00000595,2.21414079,0.15402208,0.01591947,0.05525520,1.59925557,0.00837233,0.00106955,0.00605846,0.00122788,0.72802427,0.83778756,0.01671552,0.00069769,0.00053477,0.00242338,0.00245576,0.33431045,0.41889378,0.91003033
1.200,2,1,1,-531.964,190.014,49.964,55.787945,-0.015897,-0.015897,-55.803843,-3.265859,nan,0.066461,0.863063,4.168268,0.875504,1.531781,0.974287,4.984733,0.720287,1.351685,38.000000,-58.000000,96.000000,-20.000000,888.56594359,0.000000,0.00000000,20.90778027,0.000000,411.04412043,376.15265137,77.99952323,0.00000000,2.22571258,0.15935708,0.01667967,0.06011896,1.72802778,0.00857819,0.00111327,0.00705882,0.00151401,0.78539945,0.90401342,0.02035062,0.00071485,0.00055664,0.00282353,0.00302802,0.40701232,0.45200671,0.98174931
1.300,2,1,1,-531.955,190.024,49.955,55.424754,-0.027465,-0.027465,-55.452219,-3.351803,nan,0.097479,1.267290,5.271212,0.813047,1.509665,1.422553,4.655282,0.799283,1.358277,40.000000,-60.000000,100.000000,-20.000000,883.95660971,0.000000,0.00000000,20.27838569,0.000000,410.27937128,375.26379458,75.38258422,0.00000000,2.51162381,0.16148504,0.01677027,0.06259483,1.89782491,0.00916499,0.00123651,0.00917389,0.00184394,0.86030088,0.99055639,0.02554831,0.00076375,0.00061825,0.00366955,0.00368788,0.51096624,0.49527819,1.07537610
1.400,2,1,1,-531.944,190.037,49.944,55.009658,-0.042070,-0.042070,-55.051728,-4.282860,nan,0.127119,1.666441,4.497719,0.977993,1.523345,1.902430,5.070676,1.083181,1.411652,40.000000,-60.000000,100.000000,-20.000000,880.87249569,0.000000,0.00000000,20.10669297,0.000000,409.78161486,374.73211558,73.20072096,0.00000000,2.81015659,0.16113382,0.01697785,0.06308306,2.06548105,0.01018011,0.00145700,0.01071444,0.00223555,0.93415682,1.07598883,0.03074830,0.00084834,0.00072850,0.00428578,0.00447111,0.61496596,0.53799441,1.16769603
1.500,2,1,1,-531.933,190.052,49.933,54.546660,-0.059228,-0.059228,-54.605888,-5.772550,nan,0.153549,2.043430,3.122620,1.294143,1.569522,2.375110,4.683930,1.480945,1.507864,40.000000,-60.000000,100.000000,-20.000000,877.78661634,0.000000,0.00000000,20.25450917,0.000000,409.32749450,374.30037541,70.55466115,0.00000000,3.10713660,0.16087425,0.01745477,0.06411050,2.23062566,0.01170806,0.00180104,0.01145778,0.00257006,1.00689758,1.16023740,0.03595374,0.00097567,0.00090052,0.00458311,0.00514011,0.71907477,0.58011870,1.25862197
1.710,2,1,1,-531.933,190.052,49.933,54.546660,-0.059228,-0.059228,-54.605888,-5.772550,nan,0.153549,2.043430,3.122620,1.294143,1.643397,2.375110,4.683930,1.480945,1.655438,40.000000,-60.000000,100.000000,-20.000000,877.78661634,0.000000,0.00000000,20.25450917,0.000000,409.32749450,374.30037541,70.55466115,0.00000000,3.10713660,0.16087425,0.01745477,0.06411050,2.57582836,0.01490195,0.00252018,0.01301159,0.00326927,1.15894800,1.33634267,0.04683470,0.00124183,0.00126009,0.00520464,0.00653854,0.93669401,0.66817133,1.44868500
1.800,2,1,1,-531.902,190.105,49.902,52.970550,-0.120611,-0.120611,-53.091161,-6.259564,nan,0.143029,2.881650,1.418071,2.059128,1.737184,3.413797,2.879113,2.404290,1.801345,40.000000,-60.000000,100.000000,-20.000000,873.87697702,0.000000,0.01840814,21.17303743,0.000000,408.91389585,374.10700640,65.68952602,0.00000000,3.73262020,0.16096218,0.01818044,0.06334036,2.71869781,0.01765007,0.00316299,0.01315024,0.00338357,1.22113601,1.40867241,0.05154253,0.00147084,0.00158149,0.00526009,0.00676714,1.03085062,0.70433620,1.52642001
1.900,2,1,1,-531.892,190.126,49.892,52.369369,-0.144468,-0.144468,-52.513837,-7.262240,nan,0.180985,3.083599,1.804817,2.434287,1.843797,3.689125,2.349127,2.866522,1.963286,43.500000,-56.500000,100.000000,-13.000000,877.06051715,0.000000,0.02807865,26.63269710,0.000000,408.28496797,373.64410981,64.28896957,0.00000000,3.95017054,0.15792534,0.01491315,0.05868503,2.87389608,0.02112556,0.00399207,0.01339828,0.00346762,1.28833399,1.48695196,0.05662661,0.00176046,0.00199603,0.00535931,0.00693523,1.13253220,0.74347598,1.61041749
