t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.500,3,1,1,-531.989,189.981,49.989,56.066,0.022,9.365,-46.702,-0.100,nan,0.000000,-0.246120,6.856214,0.246120,0.246120,-0.038298,6.425271,0.038298,0.038298,58.923579,-55.495672,8.000000,3.427907,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.04414340,0.00002582,0.00000009,0.00357743,0.00062837,0.03983600,0.00000000,0.00007570,0.00000184,0.00000004,0.00143097,0.00125674,0.00037850,0.00000000,0.06639333
0.759,3,1,1,-531.989,189.981,49.989,56.066,0.022,9.365,-46.702,-0.100,nan,0.000000,-0.246120,6.856214,0.246120,0.246120,-0.038298,6.425271,0.038298,0.038298,57.301101,-60.153018,16.000000,-2.851917,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.15883390,0.00009260,0.00000032,0.01283261,0.00225403,0.14289575,0.00000000,0.00075858,0.00000661,0.00000016,0.00513305,0.00450806,0.00379290,0.00000000,0.23815959
0.800,3,1,1,-531.973,189.968,49.973,55.927,0.036,9.356,-46.572,-0.215,nan,0.597780,0.971010,5.132614,0.595542,0.389938,1.157801,5.429909,0.669188,0.374566,57.336436,-60.800890,24.000000,-3.464454,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.17673409,0.00025934,0.00003418,0.01366450,0.00244024,0.15933344,0.00000000,0.00100240,0.00001852,0.00001709,0.00546580,0.00488047,0.00501200,0.00000000,0.26555573
0.900,3,1,1,-531.968,189.965,49.968,55.865,0.040,9.349,-46.515,0.000,nan,0.394038,1.384138,3.951664,0.863112,0.710532,1.605571,4.348289,0.990113,0.792387,54.057928,-62.599223,32.000000,-8.541294,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.21982839,0.00107638,0.00019124,0.01485370,0.00272822,0.19887950,0.00000000,0.00209936,0.00007688,0.00009562,0.00594148,0.00545643,0.01049679,0.00000000,0.33146583
1.000,3,1,1,-531.961,189.963,49.961,55.778,0.043,9.338,-46.440,-0.430,nan,0.280492,1.800257,7.477466,1.115417,0.980324,2.068028,8.367846,1.280471,1.111865,51.884403,-64.271206,40.000000,-12.386803,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.26798139,0.00245894,0.00045187,0.01911300,0.00379503,0.23830921,0.00000000,0.00385334,0.00017564,0.00022594,0.00764520,0.00759005,0.01926668,0.00000000,0.39718201
1.122,3,1,1,-531.961,189.963,49.961,55.778,0.043,9.338,-46.440,-0.430,nan,0.280492,1.800257,7.477466,1.255766,1.160202,2.068028,8.367846,1.441918,1.322774,49.867564,-66.454997,48.000000,-16.587433,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.32767451,0.00414395,0.00076952,0.02430403,0.00509520,0.28636417,0.00000000,0.00699764,0.00029600,0.00038476,0.00972161,0.01019040,0.03498821,0.00000000,0.47727362
1.200,3,1,1,-531.950,189.960,49.950,55.539,0.046,9.303,-46.236,-1.261,nan,0.188561,2.471033,3.271146,1.491294,1.345732,2.811440,3.519289,1.706248,1.533253,48.805445,-67.582682,56.000000,-18.777237,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.36412769,0.00617876,0.00114581,0.02494079,0.00524261,0.31689604,0.00000000,0.00972369,0.00044134,0.00057291,0.00997632,0.01048521,0.04861843,0.00000000,0.52816007
1.300,3,1,1,-531.946,189.959,49.946,55.349,0.047,9.273,-46.076,-2.263,nan,0.141082,2.773452,2.889504,1.705130,1.570124,3.126539,2.920813,1.941462,1.782376,47.008133,-69.092631,64.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.41213891,0.00946400,0.00174224,0.02557756,0.00537274,0.35575602,0.00000000,0.01422635,0.00067600,0.00087112,0.01023103,0.01074547,0.07113175,0.00000000,0.59292670
1.400,3,1,1,-531.944,189.958,49.944,55.112,0.048,9.234,-45.878,-2.879,nan,0.103396,3.035352,2.581371,1.899506,1.771680,3.387756,2.582421,2.150739,2.001333,45.413859,-70.633893,72.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.46133800,0.01338584,0.00244015,0.02608407,0.00547412,0.39415387,0.00000000,0.01979994,0.00095613,0.00122007,0.01043363,0.01094824,0.09899970,0.00000000,0.65692312
1.500,3,1,1,-531.942,189.959,49.942,54.827,0.047,9.186,-45.641,-3.008,nan,0.075820,3.260045,2.112629,2.076078,1.954400,3.624765,2.383619,2.340300,2.199015,43.997816,-71.844921,80.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.51197028,0.01791824,0.00324061,0.02642396,0.00556066,0.43222692,0.00000000,0.02659990,0.00127987,0.00162031,0.01056958,0.01112131,0.13299950,0.00000000,0.72037819
