t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,3,1,1,-532.006,189.988,50.006,52.582,0.014,8.774,-43.808,-0.587,nan,0.000000,0.385111,-0.248982,0.385111,0.385111,0.791620,-0.331989,0.791620,0.791620,59.733843,-53.418165,8.000000,6.315679,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.03184983,0.00005709,0.00003446,0.00000426,0.00000152,0.03165874,0.00000000,0.00009377,0.00000408,0.00001723,0.00000170,0.00000303,0.00046884,0.00000000,0.05276457
0.437,3,1,1,-532.006,189.988,50.006,52.582,0.014,8.774,-43.808,-0.587,nan,0.000000,0.385111,-0.248982,0.385111,0.385111,0.791620,-0.331989,0.791620,0.791620,55.852383,-57.422526,16.000000,-1.570144,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.11583247,0.00020696,0.00012493,0.00001545,0.00000549,0.11477342,0.00000000,0.00070622,0.00001478,0.00006246,0.00000618,0.00001099,0.00353110,0.00000000,0.19128904
0.500,3,1,1,-532.019,189.965,50.019,52.431,0.040,8.769,-43.662,-0.057,nan,0.143760,0.265022,-0.257153,0.349694,0.368351,0.633236,-0.417640,0.742588,0.768219,55.890527,-58.491925,24.000000,-2.601398,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.13823880,0.00022587,0.00014035,0.00001863,0.00000717,0.13677261,0.00000000,0.00107417,0.00001613,0.00007018,0.00000745,0.00001434,0.00537085,0.00000000,0.22795435
0.600,3,1,1,-532.022,189.958,50.022,52.362,0.048,8.764,-43.598,-0.573,nan,0.147820,0.221365,-0.407031,0.322436,0.343540,0.579410,-0.413912,0.705342,0.733698,56.216697,-60.044031,32.000000,-3.827333,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.17403850,0.00024675,0.00016078,0.00003123,0.00000978,0.17147820,0.00000000,0.00211176,0.00001762,0.00008039,0.00001249,0.00001955,0.01055879,0.00000000,0.28579700
0.700,3,1,1,-532.026,189.952,50.026,52.270,0.055,8.753,-43.516,-0.673,nan,0.141523,0.160229,-0.679153,0.297164,0.319947,0.528104,-0.516806,0.673635,0.703093,56.476127,-61.657445,40.000000,-5.181318,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.21036548,0.00025771,0.00017778,0.00006638,0.00001385,0.20611015,0.00000000,0.00373961,0.00001841,0.00008889,0.00002655,0.00002770,0.01869805,0.00000000,0.34351692
0.823,3,1,1,-532.026,189.952,50.026,52.270,0.055,8.753,-43.516,-0.673,nan,0.141523,0.160229,-0.679153,0.279048,0.298652,0.528104,-0.516806,0.651641,0.676264,56.691898,-63.712383,48.000000,-7.020485,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.25570128,0.00027111,0.00019859,0.00010938,0.00001883,0.24848271,0.00000000,0.00662066,0.00001936,0.00009929,0.00004375,0.00003766,0.03310331,0.00000000,0.41413785
0.900,3,1,1,-532.032,189.943,50.032,52.019,0.065,8.719,-43.300,-1.776,nan,0.113576,0.045156,-0.477685,0.258911,0.283968,0.438107,-0.429792,0.625614,0.656719,56.903070,-64.687083,56.000000,-7.784013,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.28479122,0.00027178,0.00020766,0.00012286,0.00002101,0.27506730,0.00000000,0.00910061,0.00001941,0.00010383,0.00004915,0.00004202,0.04550303,0.00000000,0.45844550
1.000,3,1,1,-532.035,189.941,50.035,51.836,0.068,8.691,-43.145,-1.404,nan,0.096864,-0.000900,-0.417699,0.242190,0.267543,0.393763,-0.413010,0.601540,0.632653,57.118223,-66.324790,64.000000,-9.206567,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.32302551,0.00027178,0.00021711,0.00013615,0.00002361,0.30909489,0.00000000,0.01328197,0.00001941,0.00010855,0.00005446,0.00004722,0.06640983,0.00000000,0.51515815
1.100,3,1,1,-532.036,189.939,50.036,51.614,0.069,8.655,-42.959,-3.194,nan,0.075083,-0.047053,-0.495898,0.228877,0.254114,0.352290,-0.395984,0.579167,0.610214,57.317155,-67.559329,72.000000,-10.242174,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.36208323,0.00027273,0.00022467,0.00015488,0.00002600,0.34283284,0.00000000,0.01857211,0.00001948,0.00011233,0.00006195,0.00005200,0.09286054,0.00000000,0.57138807
1.200,3,1,1,-532.037,189.940,50.037,51.350,0.069,8.610,-42.740,-1.662,nan,0.052302,-0.101801,-0.556374,0.219505,0.244133,0.314828,-0.336649,0.558393,0.589319,57.500844,-69.345417,80.000000,-11.844573,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.40205201,0.00027715,0.00023071,0.00017846,0.00002772,0.37622451,0.00000000,0.02511345,0.00001980,0.00011535,0.00007138,0.00005545,0.12556725,0.00000000,0.62704086
