t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,1,1,1,-531.998,190.000,49.998,57.296613,-0.000354,-0.000354,-57.296968,0.000000,0.402715,0.000000,0.084072,1.074296,0.046942,0.000000,0.613425,0.315127,0.572130,0.000000,0.000000,-5.000000,5.000000,-5.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.337,1,1,1,-531.998,190.000,49.998,57.296613,-0.000354,-0.000354,-57.296968,0.000000,0.402715,0.000000,0.084072,1.074296,0.046942,0.084072,0.613425,0.315127,0.572130,0.613425,0.000000,-10.000000,10.000000,-10.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00029471,0.00000354,0.00003144,0.00012053,0.00000207,0.00000000,0.00000000,0.00013713,0.00000030,0.00001572,0.00004821,0.00000415,0.00274265,0.00000000,0.00000000
0.400,1,1,1,-531.995,190.001,49.995,57.279260,-0.001704,-0.001704,-57.280964,0.000000,0.398734,0.006664,0.190069,0.401070,0.106475,0.127284,0.753669,-0.458366,0.628948,0.660720,1.619786,-13.380214,15.000000,-11.760427,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00044866,0.00001184,0.00005319,0.00012823,0.00000409,0.00000000,0.00000000,0.00025132,0.00000099,0.00002659,0.00005129,0.00000817,0.00502634,0.00000000,0.00000000
0.500,1,1,1,-531.994,190.003,49.994,57.249236,-0.002960,-0.002960,-57.252196,0.000000,0.396580,0.012047,0.248485,1.246183,0.141983,0.177147,0.847044,0.028648,0.674504,0.728139,4.000662,-15.999338,20.000000,-11.998676,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00090512,0.00003441,0.00009689,0.00024647,0.00000410,0.00000000,0.00000000,0.00052325,0.00000287,0.00004845,0.00009859,0.00000820,0.01046496,0.00000000,0.00000000
0.600,1,1,1,-531.992,190.004,49.992,57.203569,-0.004223,-0.004223,-57.207793,0.000000,0.393816,0.014037,0.297236,1.504014,0.188083,0.213603,0.911537,0.673225,0.742325,0.778064,6.470249,-18.529751,25.000000,-12.059501,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00155257,0.00006671,0.00014753,0.00041877,0.00001100,0.00000000,0.00000000,0.00090855,0.00000556,0.00007376,0.00016751,0.00002201,0.01817101,0.00000000,0.00000000
0.700,1,1,1,-531.992,190.005,49.992,57.132436,-0.005276,-0.005276,-57.137712,0.000000,0.391091,0.012780,0.340980,0.888085,0.239757,0.244448,0.938272,-1.532662,0.815320,0.812636,9.037385,-20.962615,30.000000,-11.925230,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00226565,0.00010921,0.00020116,0.00047884,0.00004678,0.00000000,0.00000000,0.00142966,0.00000910,0.00010058,0.00019153,0.00009356,0.02859313,0.00000000,0.00000000
0.800,1,1,1,-531.991,190.006,49.991,57.037277,-0.006404,-0.006404,-57.043681,0.000000,0.389180,0.011657,0.377649,1.002676,0.287292,0.271225,0.931979,-0.472690,0.871795,0.833710,11.616731,-23.383269,35.000000,-11.766537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00313218,0.00016133,0.00025406,0.00055538,0.00005018,0.00000000,0.00000000,0.00211122,0.00001344,0.00012703,0.00022215,0.00010037,0.04222431,0.00000000,0.00000000
0.900,1,1,1,-531.991,190.007,49.991,56.916935,-0.008308,-0.008308,-56.925243,0.000000,0.388093,0.013803,0.411801,-0.415394,0.330953,0.295433,0.927844,0.343775,0.908917,0.847799,13.825068,-25.471558,39.296627,-11.646490,0.00000001,0.00000000,0.00000001,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00410151,0.00022332,0.00030651,0.00056852,0.00005198,0.00000000,0.00000000,0.00295117,0.00001861,0.00015326,0.00022741,0.00010397,0.05902341,0.00000000,0.00000000
1.000,1,1,1,-531.990,190.010,49.990,56.770714,-0.011627,-0.011627,-56.782341,0.000000,0.387834,0.026159,0.443279,-0.214859,0.370106,0.317699,0.951996,0.257831,0.929453,0.861513,13.284205,-25.235593,38.519798,-11.951388,0.00000002,0.00000000,0.00000002,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00504638,0.00029515,0.00036173,0.00057204,0.00005300,0.00000000,0.00000000,0.00376447,0.00002460,0.00018086,0.00022881,0.00010599,0.07528942,0.00000000,0.00000000
1.100,1,1,1,-531.989,190.014,49.989,56.600236,-0.016442,-0.016442,-56.616678,0.000000,0.388283,0.033830,0.467685,0.214859,0.404474,0.337674,1.000605,-0.272155,0.944141,0.878060,12.999855,-25.017001,38.016856,-12.017146,0.00000004,0.00000000,0.00000004,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00598700,0.00037512,0.00042274,0.00057555,0.00005412,0.00000000,0.00000000,0.00455947,0.00003126,0.00021137,0.00023022,0.00010825,0.09118938,0.00000000,0.00000000
