t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.500,1,1,1,-532.027,189.989,50.027,57.144386,0.012437,0.012437,-57.131949,0.000000,0.244251,0.000000,-2.601805,-0.630254,2.507080,0.000000,-1.758965,0.701873,1.809104,0.000000,0.000000,-5.000000,5.000000,-5.000000,0.00000014,0.00000000,0.00000013,0.00000000,0.00000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.600,1,1,1,-532.030,189.988,50.030,57.132314,0.013798,0.013798,-57.118516,0.000000,0.242319,0.003341,-2.607212,0.286479,2.543284,2.607212,-1.775177,-1.475366,1.791181,1.775177,0.000000,-10.000000,10.000000,-10.000000,0.00000016,0.00000000,0.00000016,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00281455,0.00248335,0.00019187,0.00000625,0.00003313,0.00000000,0.00000000,0.00009994,0.00020695,0.00009594,0.00000250,0.00006627,0.00199885,0.00000000,0.00000000
0.700,1,1,1,-532.034,189.984,50.034,57.109372,0.018065,0.018065,-57.091307,0.000000,0.238642,0.028663,-2.566152,1.074296,2.554539,2.586758,-1.927192,-1.575634,1.805986,1.852764,0.000000,-15.000000,15.000000,-15.000000,0.00000028,0.00000000,0.00000028,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00579849,0.00489035,0.00041814,0.00009413,0.00007094,0.00000000,0.00000000,0.00032493,0.00040753,0.00020907,0.00003765,0.00014189,0.00649859,0.00000000,0.00000000
0.800,1,1,1,-532.038,189.979,50.038,57.069012,0.023744,0.023744,-57.045268,0.000000,0.240037,0.046228,-2.512522,0.587282,2.564581,2.562241,-2.127472,-1.561310,1.857862,1.948681,0.518688,-19.481312,20.000000,-18.962623,0.00000049,0.00000000,0.00000048,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00882597,0.00719867,0.00069397,0.00012041,0.00010808,0.00000000,0.00000000,0.00070484,0.00059989,0.00034699,0.00004816,0.00021617,0.01409684,0.00000000,0.00000000
0.900,1,1,1,-532.043,189.975,50.043,57.004006,0.028178,0.028178,-56.975829,0.000000,0.241678,0.050544,-2.430314,1.074296,2.556695,2.529906,-2.212589,0.845113,1.944694,2.017893,3.076010,-21.923990,25.000000,-18.847979,0.00000068,0.00000000,0.00000068,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01187167,0.00935736,0.00099218,0.00020828,0.00011896,0.00000000,0.00000000,0.00119489,0.00077978,0.00049609,0.00008331,0.00023792,0.02389772,0.00000000,0.00000000
1.000,1,1,1,-532.044,189.974,50.044,56.910059,0.029700,0.029700,-56.880359,0.000000,0.244110,0.037682,-2.276808,1.747521,2.503456,2.481348,-2.087739,2.606958,2.032757,2.032056,5.998992,-24.001008,30.000000,-18.002017,0.00000074,0.00000000,0.00000074,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01498025,0.01125228,0.00125772,0.00044085,0.00022247,0.00000000,0.00000000,0.00180693,0.00093769,0.00062886,0.00017634,0.00044495,0.03613850,0.00000000,0.00000000
1.100,1,1,1,-532.043,189.975,50.043,56.786853,0.028708,0.028708,-56.758145,0.000000,0.248156,0.027182,-2.040498,3.810169,2.406928,2.413492,-1.801887,3.709902,2.064863,1.995550,8.284745,-25.540611,33.825356,-17.255866,0.00000068,0.00000000,0.00000068,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01873446,0.01277356,0.00145544,0.00154590,0.00043201,0.00000000,0.00000000,0.00252755,0.00106446,0.00072772,0.00061836,0.00086401,0.05055108,0.00000000,0.00000000
1.200,1,1,1,-532.041,189.977,50.041,56.636209,0.026630,0.026630,-56.609579,0.000000,0.254316,0.029033,-1.753511,3.008028,2.264118,2.330647,-1.470997,4.311507,2.004039,1.929339,8.412340,-25.270249,33.682590,-16.857909,0.00000057,0.00000000,0.00000057,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.02167266,0.01389786,0.00158731,0.00223517,0.00071522,0.00000000,0.00000000,0.00323712,0.00115815,0.00079365,0.00089407,0.00143044,0.06474234,0.00000000,0.00000000
1.300,1,1,1,-532.038,189.979,50.038,56.497989,0.024434,0.024434,-56.473555,0.000000,0.261432,0.030550,-1.509972,3.867465,2.113946,2.244505,-1.223907,2.449395,1.880997,1.855859,8.606763,-25.078149,33.684912,-16.471385,0.00000046,0.00000000,0.00000046,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.02453156,0.01473152,0.00167859,0.00337454,0.00080662,0.00000000,0.00000000,0.00394030,0.00122763,0.00083930,0.00134981,0.00161324,0.07880593,0.00000000,0.00000000
1.400,1,1,1,-532.035,189.981,50.035,56.305684,0.022146,0.022146,-56.283538,0.000000,0.269444,0.032155,-1.190615,3.136944,1.881813,2.153053,-0.933140,2.578310,1.647295,1.777170,8.844001,-24.840009,33.684010,-15.996008,0.00000037,0.00000000,0.00000037,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.02664809,0.01524955,0.00173163,0.00412372,0.00090784,0.00000000,0.00000000,0.00463535,0.00127080,0.00086581,0.00164949,0.00181568,0.09270692,0.00000000,0.00000000
