t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,1,1,1,-531.999,189.992,49.999,56.073452,0.008900,0.008900,-56.064552,0.000000,0.390698,0.000000,-0.412508,1.532662,0.622902,0.000000,-0.001107,2.062648,0.190295,0.000000,0.000000,-5.000000,5.000000,-5.000000,0.00000002,0.00000000,0.00000002,0.00000000,0.00000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.315,1,1,1,-531.999,189.992,49.999,56.073452,0.008900,0.008900,-56.064552,0.000000,0.390698,0.000000,-0.412508,1.532662,0.622902,0.412508,-0.001107,2.062648,0.190295,0.001107,0.000000,-10.000000,10.000000,-10.000000,0.00000002,0.00000000,0.00000002,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00046541,0.00007132,0.00000000,0.00020512,0.00007430,0.00000000,0.00000000,0.00011466,0.00000594,0.00000000,0.00008205,0.00014860,0.00229327,0.00000000,0.00000000
0.400,1,1,1,-531.994,189.983,49.994,55.959562,0.020023,0.020023,-55.939539,0.000000,0.402059,0.016530,0.047168,3.294507,0.477894,0.313840,0.413091,2.034000,0.219218,0.269858,1.789542,-13.210458,15.000000,-11.420917,0.00000007,0.00000000,0.00000006,0.00000000,0.00000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00138602,0.00007202,0.00000887,0.00091067,0.00012809,0.00000000,0.00000000,0.00026636,0.00000600,0.00000444,0.00036427,0.00025618,0.00532727,0.00000000,0.00000000
0.500,1,1,1,-531.992,189.978,49.992,55.878553,0.025293,0.025293,-55.853260,0.000000,0.408285,0.030800,0.285317,3.495043,0.391282,0.304624,0.640274,2.435071,0.314044,0.430415,4.170543,-15.829457,20.000000,-11.658914,0.00000009,0.00000000,0.00000008,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00273047,0.00010180,0.00003387,0.00184175,0.00021848,0.00000000,0.00000000,0.00053457,0.00000848,0.00001694,0.00073670,0.00043696,0.01069133,0.00000000,0.00000000
0.600,1,1,1,-531.990,189.974,49.990,55.777804,0.030196,0.030196,-55.747607,0.000000,0.413586,0.039432,0.515992,2.048324,0.314023,0.368950,0.874039,2.062648,0.470401,0.574293,6.697018,-18.302982,25.000000,-11.605965,0.00000010,0.00000000,0.00000010,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00363786,0.00019906,0.00008038,0.00216104,0.00028324,0.00000000,0.00000000,0.00091415,0.00001659,0.00004019,0.00086442,0.00056647,0.01828299,0.00000000,0.00000000
0.700,1,1,1,-531.987,189.970,49.987,55.655546,0.034365,0.034365,-55.621181,0.000000,0.408993,0.041411,0.748143,2.320479,0.384196,0.469895,1.132221,2.306155,0.669923,0.721208,9.143049,-20.856951,30.000000,-11.713902,0.00000015,0.00000000,0.00000015,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00492957,0.00040355,0.00015844,0.00257089,0.00036420,0.00000000,0.00000000,0.00143249,0.00003363,0.00007922,0.00102836,0.00072840,0.02864982,0.00000000,0.00000000
0.800,1,1,1,-531.984,189.967,49.984,55.510361,0.037626,0.037626,-55.472735,0.000000,0.397665,0.041129,0.981895,2.778845,0.556547,0.587092,1.411841,2.277507,0.897917,0.875012,11.507983,-23.492017,35.000000,-11.984035,0.00000026,0.00000000,0.00000026,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00675459,0.00075593,0.00027986,0.00315889,0.00044319,0.00000000,0.00000000,0.00211672,0.00006299,0.00013993,0.00126355,0.00088638,0.04233436,0.00000000,0.00000000
0.900,1,1,1,-531.981,189.965,49.981,55.362415,0.040214,0.040214,-55.322201,0.000000,0.385670,0.038906,1.178040,3.452071,0.740091,0.702710,1.648730,1.733197,1.118220,1.022156,12.753066,-24.938969,37.692035,-12.185903,0.00000040,0.00000000,0.00000040,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00916734,0.00126364,0.00044561,0.00406715,0.00048898,0.00000000,0.00000000,0.00290196,0.00010530,0.00022281,0.00162686,0.00097796,0.05803913,0.00000000,0.00000000
1.000,1,1,1,-531.980,189.964,49.980,55.211044,0.041342,0.041342,-55.169702,0.000000,0.374908,0.034424,1.339826,2.334803,0.908065,0.810185,1.833061,2.034000,1.317126,1.155031,12.490630,-24.665767,37.156397,-12.175137,0.00000052,0.00000000,0.00000052,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01126999,0.00191958,0.00065024,0.00448213,0.00055197,0.00000000,0.00000000,0.00366607,0.00015997,0.00032512,0.00179285,0.00110394,0.07332149,0.00000000,0.00000000
1.100,1,1,1,-531.978,189.962,49.978,55.000251,0.043622,0.043622,-54.956630,0.000000,0.362121,0.031622,1.516677,1.618606,1.113290,0.915986,2.011051,1.389423,1.556152,1.278746,12.097724,-24.403776,36.501500,-12.306053,0.00000070,0.00000000,0.00000070,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01332779,0.00276033,0.00089660,0.00468162,0.00058137,0.00000000,0.00000000,0.00440788,0.00023003,0.00044830,0.00187265,0.00116274,0.08815755,0.00000000,0.00000000
