t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.500,3,1,1,-531.971,190.002,49.971,56.971,-0.002,9.498,-47.473,0.974,nan,0.000000,2.934776,2.021220,2.934776,2.934776,3.159911,1.738696,3.159911,3.159911,58.707444,-56.170083,8.000000,2.537361,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.04584595,0.00366874,0.00060760,0.00031075,0.00004599,0.04114252,0.00000000,0.00007035,0.00026205,0.00030380,0.00012430,0.00009198,0.00035177,0.00000000,0.06857087
0.734,3,1,1,-531.971,190.002,49.971,56.971,-0.002,9.498,-47.473,0.974,nan,0.000000,2.934776,2.021220,2.934776,2.934776,3.159911,1.738696,3.159911,3.159911,36.273134,-60.462275,16.000000,-5.462639,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.15393834,0.01227823,0.00203347,0.00103998,0.00015391,0.13769240,0.00000000,0.00074034,0.00087702,0.00101673,0.00041599,0.00030783,0.00370172,0.00000000,0.22948734
0.800,3,1,1,-531.967,189.999,49.967,56.956,0.001,9.499,-47.457,-0.029,nan,0.016976,3.595793,1.458836,3.170465,3.053057,3.780718,1.759206,3.379541,3.269857,36.276007,-61.478367,24.000000,-13.462639,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.18576698,0.01589585,0.00260479,0.00114631,0.00018484,0.16469804,0.00000000,0.00123715,0.00113542,0.00130240,0.00045852,0.00036968,0.00618575,0.00000000,0.27449673
0.900,3,1,1,-531.968,189.998,49.968,56.926,0.002,9.495,-47.431,0.100,nan,0.020813,3.704728,0.814659,3.312120,3.194106,3.923085,1.147667,3.523297,3.410587,34.677908,-63.315780,32.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.23518357,0.02175057,0.00354268,0.00119687,0.00020490,0.20582704,0.00000000,0.00266151,0.00155361,0.00177134,0.00047875,0.00040981,0.01330756,0.00000000,0.34304506
1.000,3,1,1,-531.971,189.997,49.971,56.872,0.004,9.486,-47.386,-0.143,nan,0.039738,3.747966,0.272388,3.403757,3.293066,3.988864,0.476196,3.621202,3.513764,33.717916,-65.077819,40.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.28529105,0.02775297,0.00451394,0.00120253,0.00020836,0.24694781,0.00000000,0.00466544,0.00198236,0.00225697,0.00048101,0.00041673,0.02332718,0.00000000,0.41157969
1.137,3,1,1,-531.971,189.997,49.971,56.872,0.004,9.486,-47.386,-0.143,nan,0.039738,3.747966,0.272388,3.463501,3.382305,3.988864,0.476196,3.685027,3.606865,33.090603,-67.583890,48.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.35482448,0.03596679,0.00584303,0.00121027,0.00021310,0.30321837,0.00000000,0.00837291,0.00256906,0.00292151,0.00048411,0.00042620,0.04186455,0.00000000,0.50536396
1.200,3,1,1,-531.985,189.994,49.985,56.638,0.006,9.447,-47.190,-0.444,nan,0.088905,3.671290,-1.031983,3.493942,3.405827,3.922324,-1.019511,3.719854,3.632565,32.714022,-68.555699,56.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.38679151,0.03956827,0.00643029,0.00126109,0.00022302,0.32872042,0.00000000,0.01058842,0.00282631,0.00321515,0.00050444,0.00044604,0.05294208,0.00000000,0.54786737
1.300,3,1,1,-531.995,189.994,49.995,56.457,0.007,9.416,-47.041,-0.917,nan,0.135486,3.538665,-1.637642,3.499564,3.420860,3.796081,-1.525625,3.729467,3.651118,32.527512,-70.201037,64.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.43825196,0.04491502,0.00730928,0.00146557,0.00025851,0.36921370,0.00000000,0.01508988,0.00320822,0.00365464,0.00058623,0.00051703,0.07544942,0.00000000,0.61535616
1.400,3,1,1,-532.007,189.994,50.007,56.251,0.007,9.380,-46.871,-2.048,nan,0.178015,3.359737,-2.346770,3.484304,3.414801,3.632519,-2.133107,3.718820,3.649264,32.511425,-71.709027,72.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.49005005,0.04972471,0.00811248,0.00188462,0.00032776,0.40933142,0.00000000,0.02066906,0.00355177,0.00405624,0.00075385,0.00065551,0.10334529,0.00000000,0.68221903
1.500,3,1,1,-532.021,189.995,50.021,55.982,0.006,9.332,-46.650,-2.220,nan,0.216880,3.107903,-2.729302,3.448514,3.388042,3.403457,-2.494262,3.688497,3.627599,32.642991,-72.000000,80.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.54212524,0.05384501,0.00881837,0.00245204,0.00042254,0.44911648,0.00000000,0.02747080,0.00384607,0.00440919,0.00098082,0.00084507,0.13735398,0.00000000,0.74852747
