t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,3,1,1,-531.995,189.990,49.995,55.963,0.011,9.337,-46.626,0.358,nan,0.045873,0.114891,2.448006,0.114891,0.114891,0.476948,2.308762,0.476948,0.476948,58.944721,-55.478607,8.000000,3.466113,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.03923248,0.00000547,0.00001347,0.00044355,0.00007890,0.03861721,0.00000000,0.00007388,0.00000039,0.00000673,0.00017742,0.00015781,0.00036939,0.00000000,0.06436201
0.444,3,1,1,-531.995,189.990,49.995,55.963,0.011,9.337,-46.626,0.358,nan,0.045873,0.114891,2.448006,0.114891,0.114891,0.476948,2.308762,0.476948,0.476948,57.351394,-59.869928,16.000000,-2.518533,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.13824874,0.00001922,0.00004731,0.00155784,0.00027713,0.13563282,0.00000000,0.00071442,0.00000137,0.00002365,0.00062314,0.00055426,0.00357211,0.00000000,0.22605471
0.500,3,1,1,-531.988,189.980,49.988,55.802,0.023,9.322,-46.480,-0.201,nan,0.168320,0.801854,2.626361,0.472359,0.318911,1.182742,2.921366,0.786095,0.626180,57.391145,-60.686527,24.000000,-3.295382,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.16118187,0.00017226,0.00009488,0.00185103,0.00034968,0.15767203,0.00000000,0.00104198,0.00001230,0.00004744,0.00074041,0.00069937,0.00520990,0.00000000,0.26278672
0.600,3,1,1,-531.984,189.976,49.984,55.727,0.027,9.313,-46.414,-0.501,nan,0.139104,1.040064,2.361685,0.661646,0.546671,1.462903,2.869491,0.999240,0.862398,54.641703,-62.385547,32.000000,-7.743844,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.20278773,0.00063365,0.00022528,0.00227585,0.00047511,0.19705173,0.00000000,0.00212610,0.00004526,0.00011264,0.00091034,0.00095023,0.01063052,0.00000000,0.32841955
0.700,3,1,1,-531.980,189.974,49.980,55.629,0.030,9.300,-46.330,-1.561,nan,0.116084,1.252333,2.075762,0.814793,0.715089,1.721179,2.480210,1.179523,1.055996,53.130631,-63.936578,40.000000,-10.805947,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.24498788,0.00130220,0.00040568,0.00260384,0.00056876,0.23626526,0.00000000,0.00384213,0.00009301,0.00020284,0.00104154,0.00113753,0.01921063,0.00000000,0.39377543
0.800,3,1,1,-531.978,189.972,49.978,55.517,0.032,9.283,-46.234,-1.762,nan,0.098166,1.415207,2.936593,0.941829,0.851687,1.902887,3.026037,1.327740,1.214375,51.912370,-65.628813,48.000000,-13.716443,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.28843792,0.00215669,0.00062638,0.00326084,0.00070829,0.27535039,0.00000000,0.00633533,0.00015405,0.00031319,0.00130434,0.00141658,0.03167664,0.00000000,0.45891732
0.924,3,1,1,-531.978,189.972,49.978,55.517,0.032,9.283,-46.234,-1.762,nan,0.098166,1.415207,2.936593,1.022955,0.958353,1.902887,3.026037,1.424196,1.341303,50.892284,-67.842497,56.000000,-16.950214,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.34350648,0.00321694,0.00090022,0.00407605,0.00088142,0.32384708,0.00000000,0.01058477,0.00022978,0.00045011,0.00163042,0.00176283,0.05292384,0.00000000,0.53974514
1.000,3,1,1,-531.974,189.968,49.974,55.172,0.036,9.230,-45.942,-2.392,nan,0.070440,1.726073,1.249262,1.134922,1.045279,2.169758,1.010311,1.537294,1.430004,50.311237,-68.903002,64.000000,-18.591765,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.37740471,0.00418025,0.00111767,0.00416616,0.00089320,0.35309513,0.00000000,0.01395229,0.00029859,0.00055884,0.00166646,0.00178640,0.06976143,0.00000000,0.58849189
1.100,3,1,1,-531.972,189.968,49.972,54.929,0.037,9.190,-45.739,-2.850,nan,0.054907,1.859479,1.059023,1.236575,1.153174,2.293472,1.136319,1.638638,1.538626,49.497356,-70.466836,72.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.42312922,0.00565494,0.00143816,0.00425158,0.00091287,0.39133496,0.00000000,0.01953672,0.00040392,0.00071908,0.00170063,0.00182574,0.09768358,0.00000000,0.65222494
1.200,3,1,1,-531.971,189.969,49.971,54.638,0.035,9.140,-45.498,-2.707,nan,0.046787,1.954348,0.608038,1.325954,1.247696,2.422122,1.018029,1.733000,1.639004,48.776612,-71.812391,80.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.46979667,0.00728390,0.00179560,0.00427973,0.00092866,0.42917169,0.00000000,0.02633710,0.00052028,0.00089780,0.00171189,0.00185731,0.13168551,0.00000000,0.71528614
1.300,3,1,1,-531.970,189.973,49.970,54.298,0.031,9.080,-45.217,-2.994,nan,0.052542,2.005833,0.505243,1.401457,1.327693,2.533585,1.421758,1.820388,1.731505,48.152007,-71.595881,88.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.51746236,0.00899955,0.00218663,0.00429917,0.00095944,0.46653728,0.00000000,0.03448029,0.00064282,0.00109331,0.00171967,0.00191888,0.17240143,0.00000000,0.77756214
1.400,3,1,1,-531.970,189.977,49.970,53.908,0.026,9.011,-44.897,-3.538,nan,0.067762,2.022024,0.054155,1.463258,1.393595,2.601121,0.652013,1.897757,1.813458,47.632235,-71.310553,96.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.56609219,0.01074355,0.00259891,0.00429939,0.00096592,0.50338611,0.00000000,0.04409831,0.00076740,0.00129946,0.00171976,0.00193183,0.22049154,0.00000000,0.83897685
1.525,3,1,1,-531.970,189.977,49.970,53.908,0.026,9.011,-44.897,-3.538,nan,0.067762,2.022024,0.054155,1.513581,1.459737,2.601121,0.652013,1.960839,1.895879,47.139952,-71.310553,100.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.62786837,0.01292386,0.00311434,0.00429967,0.00097401,0.54945362,0.00000000,0.05710287,0.00092313,0.00155717,0.00171987,0.00194803,0.28551433,0.00000000,0.91575603
1.600,3,1,1,-531.970,189.990,49.970,52.978,0.011,8.843,-44.135,-5.200,nan,0.574373,1.972652,-0.533897,1.550885,1.489621,2.585546,-0.446138,2.011905,1.936256,46.908037,-70.568749,100.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.66391656,0.01416774,0.00341961,0.00431594,0.00097629,0.57613889,0.00000000,0.06489809,0.00101198,0.00170981,0.00172638,0.00195257,0.32449044,0.00000000,0.96023148
1.700,3,1,1,-531.971,190.000,49.971,52.445,0.000,8.745,-43.700,-4.841,nan,0.400165,1.897321,-1.204521,1.576351,1.518355,2.525652,-0.925439,2.050164,1.978307,46.700133,-70.372968,100.000000,-20.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.71125216,0.01570244,0.00380811,0.00442640,0.00098933,0.61103113,0.00000000,0.07529475,0.00112160,0.00190406,0.00177056,0.00197865,0.37647377,0.00000000,1.01838522
